text,price
Koko K LIpkit Beauty/Makeup/Lips NA Brand new Kylie lip kit. Each box includes a liquid lipstick and lip liner. Bundle & save! 1 for [rm] 2 for [rm] 3 for [rm] Colors available Koko K Kourt K Mary Jo K Trick Pumpkin Spice Smile FREE same & next day shipping!,10
2T Footsie Bundle Kids/Girls 2T-5T/One-Pieces Carter's Three pairs of super cute footsie pj's - All size 2T & in great condition! Zip ups with snap button closures on top.,14
"Classic black converse women's 8.5 Women/Shoes/Fashion Sneakers Converse Great used condition, needs some cleaning. Magic eraser will fix any scuffs. Solid staple to any closet.",18
FINAL WEEK-carters hot air balloon set Kids/Girls 0-24 Mos/One-Pieces Carter's Carters 3 piece set in 3 months. Great condition with free shipping. Set includes : White onesie with hot air ballon design. Orange small satin bow at neck. Orange ribbed pants Orange ribbed button up jacket with double blocks and hot air balloon embroidered at left side. CLOSET CLOSING NOVEMBER 21-FINAL WEEK TO PURCHASE Prices firm unless bundling,10
Liquid lipstick bundle Beauty/Makeup/Lips NYX All swatched only once. FREE SHIPPING!,15
"Lularoe OS leggings Women/Athletic Apparel/Pants, Tights, Leggings LuLaRoe Never worn never washed",24
iPhone 5/5s Duracell Power case + Mat Electronics/Cell Phones & Accessories/Cell Phone Accessories Apple New in package. Power case for the iPhone 5/5s. Comes with with charging mat. Color is white. FAST FREE SHIPPING!!!!,10
NEW BIRKENSTOCK ARIZONA EURO 39/ WMNS Women/Shoes/Sandals Birkenstock New never used. ARIZONA STYLE 364133. Size US 8-8.5 NARROW FIT. BIRKO FLOR STRAPS. BOX IS MISSING LID.,81
"Nabi charger Electronics/Cell Phones & Accessories/Chargers & Cradles NA Nabi replacement charger for dreamtab ,Jr.",10
"Baby G Shock Watch Women/Women's Accessories/Watches NA Price is Firm- rare discontinued style. White band with hearts, brand new batteries (it requires 2) worn maybe twice, just not my style. Minor surface scratching on silver portion of face. Comes in original packaging with tin. No instruction manual. I have it downloaded on my phone, or you can use YouTube to learn settings!",56
"Younique Liquid Lipstick and lip scrub Beauty/Makeup/Lips NA Authentic, lip scrub is brand new, lipstick has been swatched but is still in original box. Price is for both items. Free shipping",22
Makeup forever foundation Beauty/Makeup/Face NA Makeup forever ultra hd stick foundation in the shade 115=r230 brand new in box,30
"Otter Box IPhone 6Plus Case Electronics/Cell Phones & Accessories/Cases, Covers & Skins NA Apple IPhone Cell Phone case For iPhone 6Plus. Otter Box Defender Series. Brand New.",15
No Doubt - The Singles (CD) Electronics/Media/CD NA Like new. Works great. No free shipping. Save on shipping by combining with items from my other offers.,11
"Lularoe butterfly print OS Women/Athletic Apparel/Pants, Tights, Leggings LuLaRoe No description yet",16
Boho gypsy Turkish coin necklace Women/Jewelry/Necklaces NA New unused. Great boho necklace,16
"Men's Ralph Lauren Polo Men/Tops/Polo, Rugby Ralph Lauren Ralph Lauren men's sizeM 92%polyester 8%elastane Dark purple/white",10
White bodysuit Women/Tops & Blouses/Blouse Cotton On New tag on White Size small,10
Maroon Lululemon Headband Women/Women's Accessories/Hair Accessories Lululemon Gently used but works great! Keeps hair back and has reflective logo. Great for sports and exercise.,7
Reserved don't buy Kids/Toys/Action Figures & Statues NA Reserved,7
6 month lot Kids/Boys 0-24 Mos/One-Pieces Carter's No description yet,16
"Game of thrones paperback books Other/Books/Literature & Fiction NA ""Used paperback books by George R.R. Martin. First four books from the series """"Game of Thrones"""". Wear on the spine but overall in good condition: Game of thrones Clash of kings Storm of swords Feast for crows Feel free to ask for individual pricing""",18
Jumbo Onsen Bun Vintage & Collectibles/Accessories/Keychain NA Squishy !! Onsen Bun. 10cm In Size. Orange Color. SUPER SOFT. SUPER SLOW RISE. New Without Tags. May Have Manufacturing Defects. Lowest. Price Includes [rm] Shipping. All Jumbo Squishy Orders Include An Extra.,7
Brown Birkenstock Women/Shoes/Sandals Birkenstock No description yet,16
Dior style earrings Women/Jewelry/Earrings NA New,10
"iPhone 6 Headphones Electronics/TV, Audio & Surveillance/Headphones Apple Brand new, never opened, still has plastic protective slip on outside of box",10
Rae Dunn Cheese Board Home/Kitchen & Dining/Kitchen Utensils & Gadgets Rae Dunn Brand new Rae Dunn cheese board! Great item for your collection!,34
A bathing ape hoodie Men/Sweats & Hoodies/Hoodie Bape Brand new with tags Size: Men's Large(Fits to size medium) I own a few of these(BAPE hoodies) personally and it wears great with skinny and/or straight jeans!!,75
Too Faced Mascara Melt Off Beauty/Makeup/Eyes Too Faced 0.04 oz,6
"Maroon Leggings Women/Athletic Apparel/Pants, Tights, Leggings Charlotte Russe Size M. Never worn.",5
NIKE AIR Sneakers Women/Shoes/Athletic Nike No description yet,14
20 pairs Victoria secret ankle socks Women/Athletic Apparel/Socks PINK These are brand new without tags great deal good luck,40
PopSockets Pink with PopClick Mount New Electronics/Cell Phones & Accessories/Cell Phone Accessories NA PopSockets Pink color as shown Comes with PopClick Mount Brand new Ships same or next day depending on time of order,5
VS lotion Beauty/Skin Care/Body NA Choose 1,6
Takaratomy SP-37 Charixard X Vintage & Collectibles/Toy/Action Figure Pokemon No description yet,13
